GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-aggregator-stage1,ru.mtuci.aggregator.service,AggregationService,48,114,2,6,11,30,3,7,2,4
api-aggregator-stage1,ru.mtuci.aggregator.api.impl,JsonPlaceholderProvider,14,5,0,0,3,2,2,2,2,2
api-aggregator-stage1,ru.mtuci.aggregator.api.impl,IpApiProvider,5,5,0,0,2,2,2,2,2,2
api-aggregator-stage1,ru.mtuci.aggregator.api.impl,OpenMeteoProvider,44,5,2,0,7,2,4,2,3,2
api-aggregator-stage1,ru.mtuci.aggregator.parser,JsonResponseParser,3,11,0,0,1,2,1,2,1,2
api-aggregator-stage1,ru.mtuci.aggregator.concurrent,ConcurrentPollingManager,90,101,10,8,26,30,7,7,1,4
api-aggregator-stage1,ru.mtuci.aggregator.concurrent,PollingTask,12,89,0,2,6,22,0,3,0,2
api-aggregator-stage1,ru.mtuci.aggregator.api,ApiProvider,34,0,2,0,7,0,2,0,1,0
api-aggregator-stage1,ru.mtuci.aggregator.model,AggregatedRecord,3,49,2,2,0,16,2,6,0,6
api-aggregator-stage1,ru.mtuci.aggregator.storage.impl,CsvFileStorage,80,739,32,68,7,137,33,34,1,16
api-aggregator-stage1,ru.mtuci.aggregator.storage.impl,JsonFileStorage,9,213,6,14,1,47,6,13,0,9
api-aggregator-stage1,ru.mtuci.aggregator.config,AppConfig,4,48,0,0,1,8,1,4,1,4
